alma,manzana
kenyér,pan
víz,agua
tej,leche
sajt,queso
ház,casa
autó,coche
szék,silla
asztal,mesa
ajtó,puerta
ablak,ventana
cipő,zapato
ruha,ropa
kabát,chaqueta
sapka,gorro
táska,bolsa
óra,reloj
telefon,teléfono
kulcs,llave
pénz,dinero

anya,madre
apa,padre
fiú,niño
lány,niña
testvér,hermano
barát,amigo
tanár,profesor
diák,estudiante
orvos,médico
nővér,hermana

tojás,huevo
hal,pescado
hús,carne
süti,pastel
gyümölcs,fruta
zöldség,verdura
kávé,café
tea,té
sör,cerveza
bor,vino

nap,sol
hold,luna
csillag,estrella
fa,árbol
virág,flor
hegy,montaña
folyó,río
tó,lago
erdő,bosque
tenger,mar

menni,ir
jönni,venir
enni,comer
inni,beber
látni,ver
hallani,oír
aludni,dormir
dolgozni,trabajar
tanulni,estudiar
játszani,jugar
írni,escribir
olvasni,leer
venni,comprar
adni,dar
beszélni,hablar
kérdezni,preguntar
válaszolni,responder
szeretni,amar
utazni,viajar
segíteni,ayudar

nagy,grande
kicsi,pequeño
jó,bueno
rossz,malo
gyors,rápido
lassú,lento
hideg,frío
meleg,caliente
új,nuevo
régi,viejo

én,yo
te,tú
ő fiú,él
ő lány,ella
mi,nosotros
ti,vosotros
ők,ellos

mi?,qué
ki?,quién
hol?,dónde
mikor?,cuándo
miért?,por qué
hogyan?,cómo

és,y
vagy,o
de,pero
mert,porque
hogy,que
is,también
nagyon,muy

igen,sí
nem,no
itt,aquí
ott,allí
most,ahora
mindig,siempre
ma,hoy
holnap,mañana

kakas,gallo
boldog,feliz
amikor,cuando
megjelenni,aparecer
énekelni,cantar
így,así
tehén,vaca
kacsa,pato
bárány,oveja
farkas,lobo
macska,gato
kutya,perro

ember,persona
férfi,hombre
nő,mujer
emberek,gente

város,ciudad
utca,calle
ország,país
világ,mundo
hely,lugar

idő,tiempo
nap,día
éjszaka,noche
reggel,mañana
este,tarde

egy,uno
kettő,dos
három,tres
sok,muchos
kevés,pocos

akarni,querer
ismerni,saber
ismerni valakit,conocer
gondolni,creer
maradni,quedar

itt van,hay
van birtok,tener
lenni azonosság,ser
lenni állapot,estar
